username,password,score,token,token-creation-data
alan_turing,hey,10000,bedeb508-57df-48b8-80ca-f4d167ded57a,2024-05-22T11:00:16.97565
ada_lovelace,hey,10,62652ead-5a49-4701-a322-ca1ba98c083c,2024-05-22T11:00:45.845868
von_neumann,hey,1000,451ede2e-3c67-4afc-8bd3-0192d83f1208,2024-05-18T22:30:00.050872
ughof,hey,0,edaf3f32-f147-49fe-b7d3-493d1d4df94f,2024-05-18T23:12:55.824481
ughof1,hey,0,28d9ec7d-71bc-4b6b-b543-580868f6727d,2024-05-18T23:13:40.157048
emanuxd11,1234,0,dcaee2f7-709f-4cc1-a0dd-2cceeadf5dc3,2024-05-19T00:32:00.693131841
pogi,1234,0,3820ff3b-9eec-4d95-9896-fc600586da7f,2024-05-19T00:32:18.341859455
new_user,1234,0,17e892d2-86b2-4a01-ac54-759c55024cb8,2024-05-19T01:09:26.474141903
new_user2,1234,0,f8c0e9fe-5802-462a-a097-ede591f2b2d8,2024-05-19T01:12:27.465517424
new_user3,1234,0,4c9b2130-9ecc-4810-a268-5ff950f8cacf,2024-05-19T01:17:55.003153685
new_user_69,1234,0,df3ac531-6648-4484-8921-527091cbda6e,2024-05-19T01:26:02.068579629
new_user_420,1234,0,1723667b-d98a-48a9-8480-bea9c5928ae7,2024-05-19T01:26:12.165803444
fuck_i_got_cooked,1234,0,47b7798a-33cd-4675-a7f1-b431f677fe7a,2024-05-19T01:28:44.214878647
this_shit_sucks,1234,0,92cbad3f-77b5-4136-8b69-9ec8ac0e86e1,2024-05-19T01:53:17.26640746
new_guy,1234,0,dd62f63c-f4d8-4073-a19a-9958cc68afa9,2024-05-19T01:54:18.218319649
might_guy,1234,0,3a011119-afe5-4111-b73a-4c4c5bddb9d0,2024-05-19T01:54:35.059206448
night_guy,1234,0,a82e6a83-3730-48f8-96cb-e28c5c190516,2024-05-19T01:57:03.487156348
naruto,1234,0,71aaddf7-51d9-4969-9f6c-a3fcb8ab183d,2024-05-19T01:59:54.615327803
new_user_100000000,1234,0,be865f5e-b693-46a7-b9d0-e25bea1b2871,2024-05-19T02:03:30.158715791
kawaii,1234,0,ee6c4f83-5b15-447f-b75e-4b3eb1e2c6e2,2024-05-19T02:13:37.480611246
kawaii_desu_ne,1234,0,6c898b4e-469d-40ee-960c-30b745c1d39e,2024-05-19T02:14:04.805039526
davide,hey,0,1631ead1-bac8-4f30-b47b-a27d381a2cc9,2024-05-22T10:47:23.973101
